DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Jan 17, 2022",ATL,MIL,H,117.51,42.64,88.77,48.29,13.36,35.62,37.39,18.87,23.03,82.39,9.92,33.36,43.28,25.59,11.38,7.79,4.13,19.54,4.74,120.39,43.67,89.92,48.62,13.69,36.86,36.91,19.36,24.86,78.04,10.03,36.31,46.33,25.08,12.56,7.39,3.36,18.56,3.0
"Jan 15, 2022",ATL,NYK,A,117.6,42.52,88.7,48.18,13.4,35.62,37.5,19.15,23.25,82.68,9.93,33.42,43.35,25.57,11.43,7.78,4.22,19.5,4.8,108.56,37.67,86.44,43.59,13.28,37.54,35.48,19.95,27.49,73.31,12.28,34.77,47.05,22.74,13.21,7.1,4.74,21.82,-0.21
"Jan 14, 2022",MIA,ATL,H,111.15,39.62,83.78,47.5,13.47,35.33,38.13,18.43,22.75,81.49,8.78,33.75,42.52,25.3,14.6,7.85,3.33,20.95,4.12,117.37,42.46,88.49,48.23,13.46,35.83,37.47,18.98,23.1,82.38,9.78,33.27,43.05,25.51,11.37,7.71,4.24,19.51,4.46
"Jan 12, 2022",ATL,MIA,A,117.38,42.36,88.26,48.23,13.52,35.88,37.58,19.14,23.26,82.49,9.76,33.07,42.83,25.52,11.48,7.67,4.29,19.69,4.21,111.46,39.66,83.61,47.64,13.49,35.2,38.34,18.66,22.93,81.78,8.78,33.61,42.39,25.41,14.63,7.8,3.37,21.1,4.17
"Jan 09, 2022",LAC,ATL,H,111.68,41.15,87.95,46.79,13.22,33.88,38.93,16.17,20.27,79.08,9.29,34.83,44.12,25.2,12.78,7.1,5.29,19.32,0.68,116.77,42.09,88.12,47.98,13.51,36.09,37.38,19.07,23.26,82.19,9.67,33.02,42.7,25.4,11.53,7.67,4.26,19.58,3.56
"Jan 07, 2022",LAL,ATL,H,112.36,41.52,88.05,47.17,11.88,34.5,34.35,17.43,23.88,73.47,9.69,32.88,42.57,23.45,13.81,6.88,4.67,20.02,-5.64,116.23,41.93,87.89,47.91,13.36,35.86,37.14,19.0,23.16,82.23,9.59,33.02,42.61,25.25,11.57,7.64,4.2,19.45,3.18
"Jan 05, 2022",SAC,ATL,A,111.14,40.6,87.0,46.78,11.1,32.29,34.63,18.86,24.33,77.4,8.79,32.88,41.67,24.62,13.79,7.38,4.31,18.45,-6.55,116.27,41.96,88.07,47.84,13.36,35.87,37.12,19.0,23.24,81.97,9.67,33.2,42.87,25.33,11.64,7.53,4.11,19.42,2.76
"Jan 03, 2022",POR,ATL,H,104.07,38.07,87.07,43.81,12.22,35.87,33.73,15.72,21.33,73.48,10.65,31.57,42.22,23.09,15.02,8.39,4.3,22.09,-12.54,116.09,41.89,88.02,47.79,13.24,35.74,36.89,19.07,23.39,81.78,9.67,33.3,42.98,25.22,11.61,7.54,4.13,19.3,2.83
"Dec 31, 2021",CLE,ATL,A,107.87,39.63,83.7,47.37,10.98,31.02,35.04,17.63,23.67,75.08,10.37,32.91,43.28,25.0,13.74,6.78,4.0,17.8,-0.41,116.4,42.02,88.02,47.93,13.26,35.85,36.83,19.11,23.4,81.9,9.66,33.23,42.89,25.34,11.64,7.51,4.06,19.4,2.66
"Dec 29, 2021",CHI,ATL,H,112.14,41.94,86.86,48.29,10.2,28.22,36.02,18.06,22.2,80.85,8.52,33.54,42.06,23.86,12.62,6.78,3.68,18.9,-3.1,116.5,42.04,88.21,47.86,13.31,35.9,36.94,19.1,23.35,82.08,9.75,33.17,42.92,25.29,11.44,7.52,4.06,19.48,2.67
"Dec 27, 2021",ATL,CHI,A,116.51,42.08,88.29,47.86,13.27,35.69,37.05,19.08,23.41,81.82,9.76,33.04,42.8,25.31,11.43,7.49,4.04,19.43,2.33,112.51,42.14,86.8,48.56,10.2,28.1,36.21,18.04,22.2,80.78,8.47,33.57,42.04,24.14,12.67,6.82,3.73,18.88,-2.76
"Dec 25, 2021",NYK,ATL,H,106.78,37.43,85.82,43.62,12.96,36.67,35.43,18.96,26.29,72.08,11.92,34.92,46.84,22.12,13.18,7.06,4.47,21.24,0.31,116.54,42.04,88.3,47.8,13.3,35.66,37.19,19.16,23.46,81.95,9.78,33.06,42.84,25.24,11.4,7.4,4.06,19.32,2.04
"Dec 23, 2021",PHI,ATL,A,112.86,39.82,84.38,47.26,12.04,31.94,37.46,21.18,25.78,81.68,8.92,33.98,42.9,24.66,12.54,7.52,4.86,19.6,4.86,115.96,41.86,88.27,47.6,13.29,35.71,37.14,18.94,23.27,81.46,9.75,33.16,42.9,25.2,11.41,7.41,4.08,19.18,1.73
"Dec 22, 2021",ATL,ORL,A,115.62,41.77,88.15,47.55,13.17,35.48,36.98,18.9,23.19,81.62,9.77,33.19,42.96,25.1,11.5,7.37,4.08,19.17,1.73,106.02,38.94,88.52,44.05,12.26,36.66,33.39,15.88,19.98,79.55,8.58,35.64,44.22,24.86,14.08,6.82,4.34,19.96,-7.08
"Dec 17, 2021",ATL,DEN,A,115.28,41.58,88.0,47.41,13.15,35.4,37.02,18.96,23.3,81.51,9.83,33.25,43.08,25.02,11.55,7.3,4.15,19.17,1.58,115.96,42.34,86.3,49.17,12.7,35.75,35.42,18.58,23.09,80.84,9.66,35.55,45.21,28.87,15.0,7.09,3.55,20.64,3.42
"Dec 15, 2021",ORL,ATL,A,105.85,39.0,88.57,44.09,12.17,36.47,33.32,15.68,19.72,79.7,8.64,35.45,44.09,24.77,13.98,6.94,4.36,19.91,-6.62,115.28,41.57,88.0,47.4,13.04,35.19,36.87,19.09,23.5,81.42,9.83,33.13,42.96,24.96,11.61,7.28,4.13,19.13,1.22
