DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Feb 15, 2021",NYK,ATL,H,109.05,39.86,86.95,45.9,12.95,31.6,41.02,16.37,20.49,80.33,9.07,34.84,43.91,21.6,12.63,7.33,5.16,20.12,3.53,114.24,41.6,86.76,48.03,12.49,32.53,38.07,18.56,23.0,81.17,10.27,35.04,45.31,23.84,12.64,7.24,4.67,18.8,3.73
"Feb 13, 2021",ATL,IND,A,114.2,41.48,86.72,47.91,12.46,32.54,37.97,18.78,23.2,81.38,10.28,34.96,45.24,23.7,12.61,7.2,4.7,18.8,3.41,116.84,43.78,92.4,47.5,12.22,34.02,36.21,17.07,21.18,80.44,9.18,33.58,42.76,27.67,13.71,8.53,6.76,19.98,-1.09
"Feb 12, 2021",ATL,SAS,A,114.17,41.51,86.79,47.91,12.38,32.51,37.78,18.77,23.19,81.31,10.21,34.87,45.09,23.94,12.57,7.15,4.68,18.91,3.09,111.28,42.11,89.85,46.83,9.46,27.57,34.02,17.61,22.24,79.34,9.3,33.78,43.09,24.13,11.52,7.07,5.09,18.3,-2.26
"Feb 10, 2021",DAL,ATL,H,112.98,41.5,87.11,47.63,14.52,38.85,37.3,15.46,19.87,77.65,9.39,34.24,43.63,22.83,11.93,6.04,4.22,18.48,4.83,114.17,41.46,86.85,47.81,12.35,32.5,37.71,18.9,23.4,81.2,10.21,34.79,45.0,23.9,12.56,7.21,4.67,18.88,2.79
"Feb 06, 2021",ATL,TOR,H,114.22,41.43,86.88,47.76,12.39,32.63,37.67,18.98,23.49,81.22,10.18,34.76,44.94,23.96,12.49,7.2,4.65,18.9,2.71,110.59,39.71,88.27,45.14,13.82,38.12,36.21,17.35,21.31,80.99,9.04,32.02,41.06,23.82,12.88,8.24,5.27,20.67,-1.31
"Feb 04, 2021",ATL,UTA,A,114.58,41.44,86.62,47.94,12.52,32.7,37.97,19.18,23.68,81.35,10.06,34.84,44.9,24.1,12.62,7.08,4.76,19.02,2.88,117.62,41.6,88.3,47.23,16.74,43.6,38.3,17.68,21.66,81.58,10.24,37.56,47.8,23.74,14.04,6.84,4.92,18.5,9.72
"Feb 03, 2021",ATL,DAL,A,114.12,41.25,86.84,47.65,12.45,32.67,37.8,19.16,23.59,81.61,10.22,34.76,44.98,24.0,12.59,7.1,4.69,18.94,2.41,113.84,41.58,87.32,47.62,14.7,39.06,37.52,15.98,20.34,78.31,9.42,34.2,43.62,23.16,11.96,5.84,4.12,18.78,3.98
"Feb 01, 2021",ATL,LAL,A,114.15,41.33,86.9,47.69,12.48,32.77,37.78,19.02,23.46,81.4,10.27,34.73,45.0,24.13,12.65,7.08,4.67,18.96,2.25,108.56,40.16,85.74,46.83,10.8,31.52,34.43,17.44,23.76,73.25,9.54,34.04,43.58,24.74,15.48,8.22,5.08,19.44,0.62
"Jan 29, 2021",WAS,ATL,A,117.16,43.6,90.91,47.93,9.67,27.82,35.08,20.3,26.23,77.5,9.63,35.93,45.56,25.46,14.53,7.35,4.3,21.07,-0.88,113.87,41.25,86.74,47.68,12.45,32.7,37.78,18.92,23.34,81.42,10.19,34.64,44.83,24.19,12.77,7.09,4.64,19.0,2.06
"Jan 27, 2021",ATL,BKN,A,113.91,41.2,86.74,47.63,12.44,32.78,37.68,19.06,23.54,81.33,10.22,34.65,44.87,24.04,12.78,7.06,4.63,19.2,2.31,118.12,43.1,87.02,49.68,14.1,35.96,38.58,17.83,22.33,79.88,9.0,35.1,44.1,26.9,12.88,6.87,4.88,18.75,4.69
